record_id,deviation_date,description,severity,action_taken,resolved_date,batch_number
151,2024-06-10 19:36:24,Fat content below standard,Medium,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-06-11 19:36:24,B20241121-151
152,2024-05-13 02:31:44,Packaging machine malfunction,Low,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-05-15 02:31:44,B20240615-152
153,2024-07-08 02:31:52,Higher than normal bacteria count,Low,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-07-10 02:31:52,B20240824-153
154,2024-05-07 01:20:35,Fat content below standard,High,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-05-08 01:20:35,B20240312-154
155,2024-05-19 14:40:22,Packaging machine malfunction,Low,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-05-21 14:40:22,B20240809-155
156,2024-10-04 04:54:15,Fat content below standard,High,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-10-06 04:54:15,B20240812-156
157,2024-12-05 03:25:17,Fat content below standard,Low,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-12-06 03:25:17,B20241116-157
158,2024-04-08 08:08:27,Packaging machine malfunction,Medium,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-04-09 08:08:27,B20241214-158
159,2024-06-08 05:37:56,Higher than normal bacteria count,High,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-06-10 05:37:56,B20240507-159
160,2024-07-29 19:41:09,Fat content below standard,Medium,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-07-31 19:41:09,B20240613-160
161,2024-01-08 10:47:58,pH level slightly off,Medium,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-01-09 10:47:58,B20240615-161
162,2024-11-23 01:42:20,Fat content below standard,Medium,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-11-24 01:42:20,B20241006-162
163,2024-09-12 03:27:54,Packaging machine malfunction,Low,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-09-14 03:27:54,B20241125-163
164,2024-03-14 09:34:44,Fat content below standard,Medium,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-03-16 09:34:44,B20240125-164
165,2024-06-14 22:42:17,pH level slightly off,Low,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-06-15 22:42:17,B20240221-165
166,2024-02-06 04:38:09,Fat content below standard,High,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-02-07 04:38:09,B20240724-166
167,2024-07-20 16:13:46,Fat content below standard,High,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-07-21 16:13:46,B20241105-167
168,2024-01-03 16:24:58,Packaging machine malfunction,Low,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-01-04 16:24:58,B20240525-168
169,2024-03-03 03:46:27,Higher than normal bacteria count,Medium,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-03-05 03:46:27,B20240527-169
170,2024-09-06 15:25:24,Higher than normal bacteria count,High,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-09-08 15:25:24,B20240427-170
171,2024-03-28 00:00:35,Packaging machine malfunction,High,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-03-31 00:00:35,B20240822-171
172,2024-04-01 20:06:08,Higher than normal bacteria count,Low,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-04-03 20:06:08,B20241117-172
173,2024-08-02 12:56:13,pH level slightly off,High,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-08-05 12:56:13,B20240705-173
174,2024-08-04 16:15:10,Higher than normal bacteria count,Medium,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-08-07 16:15:10,B20240603-174
175,2024-05-05 06:22:59,Higher than normal bacteria count,Low,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-05-07 06:22:59,B20240902-175
176,2024-09-17 04:22:21,Fat content below standard,High,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-09-20 04:22:21,B20240909-176
177,2024-12-18 11:17:29,pH level slightly off,Medium,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-12-21 11:17:29,B20240421-177
178,2024-07-21 22:17:37,Fat content below standard,Medium,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-07-22 22:17:37,B20241013-178
179,2024-10-04 07:15:10,Fat content below standard,Medium,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-10-06 07:15:10,B20241016-179
180,2024-10-15 22:21:30,Packaging machine malfunction,High,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-10-17 22:21:30,B20240614-180
181,2024-09-02 09:37:26,Packaging machine malfunction,Medium,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-09-04 09:37:26,B20240818-181
182,2024-09-23 10:21:24,Packaging machine malfunction,High,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-09-25 10:21:24,B20240924-182
183,2024-04-04 15:51:34,Fat content below standard,Low,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-04-07 15:51:34,B20240505-183
184,2024-09-07 18:03:13,Higher than normal bacteria count,Low,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-09-10 18:03:13,B20240928-184
185,2024-10-25 03:53:12,pH level slightly off,Medium,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-10-28 03:53:12,B20240420-185
186,2024-07-19 16:10:54,pH level slightly off,Low,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-07-21 16:10:54,B20240728-186
187,2024-08-07 10:29:10,Higher than normal bacteria count,High,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-08-08 10:29:10,B20241224-187
188,2024-02-19 13:53:58,pH level slightly off,Medium,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-02-22 13:53:58,B20240422-188
189,2024-08-19 01:13:08,Fat content below standard,Low,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-08-21 01:13:08,B20241221-189
190,2024-12-19 13:03:51,Fat content below standard,High,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-12-20 13:03:51,B20240410-190
191,2024-01-11 08:08:54,Higher than normal bacteria count,Medium,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-01-13 08:08:54,B20241101-191
192,2024-05-26 17:58:36,Packaging machine malfunction,Low,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-05-27 17:58:36,B20240815-192
193,2024-09-06 22:39:11,Fat content below standard,Low,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-09-09 22:39:11,B20240929-193
194,2024-09-07 16:40:02,pH level slightly off,High,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-09-09 16:40:02,B20241218-194
195,2024-07-21 20:33:12,Fat content below standard,Medium,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-07-23 20:33:12,B20240622-195
196,2024-08-07 03:11:56,pH level slightly off,Medium,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-08-08 03:11:56,B20240524-196
197,2024-05-30 17:56:23,Fat content below standard,High,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-05-31 17:56:23,B20240102-197
198,2024-07-01 06:27:14,Packaging machine malfunction,Low,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-07-04 06:27:14,B20240714-198
199,2024-10-30 16:40:27,Packaging machine malfunction,Low,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-11-01 16:40:27,B20241023-199
200,2024-12-17 16:25:21,Packaging machine malfunction,High,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-12-19 16:25:21,B20240512-200
201,2024-12-23 13:54:16,Higher than normal bacteria count,High,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-12-24 13:54:16,B20240326-201
202,2024-09-02 10:57:55,Packaging machine malfunction,Low,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-09-04 10:57:55,B20240921-202
203,2024-05-20 00:03:12,pH level slightly off,High,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-05-21 00:03:12,B20241110-203
204,2024-05-17 15:52:02,Packaging machine malfunction,Medium,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-05-18 15:52:02,B20240730-204
205,2024-03-21 12:13:43,Fat content below standard,Low,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-03-24 12:13:43,B20240210-205
206,2024-11-05 23:18:30,Fat content below standard,High,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-11-08 23:18:30,B20240106-206
207,2024-04-05 18:22:22,Higher than normal bacteria count,High,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-04-06 18:22:22,B20240831-207
208,2024-01-22 22:02:21,Fat content below standard,High,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-01-24 22:02:21,B20240930-208
209,2024-03-12 17:10:31,pH level slightly off,Medium,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-03-14 17:10:31,B20240829-209
210,2024-03-28 14:16:42,Higher than normal bacteria count,Medium,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-03-29 14:16:42,B20240626-210
211,2024-10-25 20:50:28,pH level slightly off,Medium,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-10-27 20:50:28,B20240118-211
212,2024-04-13 18:54:33,Packaging machine malfunction,Medium,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-04-15 18:54:33,B20240601-212
213,2024-11-26 03:07:05,Fat content below standard,Medium,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-11-29 03:07:05,B20241126-213
214,2024-09-26 21:48:22,Higher than normal bacteria count,Medium,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-09-27 21:48:22,B20240205-214
215,2024-01-01 19:40:03,Packaging machine malfunction,High,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-01-02 19:40:03,B20240920-215
216,2024-08-27 05:39:41,Fat content below standard,High,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-08-29 05:39:41,B20240101-216
217,2024-04-16 02:53:19,Packaging machine malfunction,Low,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-04-18 02:53:19,B20241026-217
218,2024-07-05 12:01:08,Packaging machine malfunction,High,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-07-06 12:01:08,B20241201-218
219,2024-08-23 22:43:42,pH level slightly off,Medium,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-08-26 22:43:42,B20240110-219
220,2024-04-14 13:01:24,Fat content below standard,High,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-04-16 13:01:24,B20240603-220
221,2024-01-10 00:20:24,Fat content below standard,Medium,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-01-13 00:20:24,B20240114-221
222,2024-01-24 21:31:20,pH level slightly off,Low,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-01-27 21:31:20,B20240810-222
223,2024-11-27 20:47:55,Fat content below standard,Low,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-11-29 20:47:55,B20240725-223
224,2024-08-06 02:54:22,Packaging machine malfunction,Low,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-08-08 02:54:22,B20241207-224
225,2024-12-30 17:52:46,pH level slightly off,Medium,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2025-01-02 17:52:46,B20240211-225
226,2024-02-29 13:36:57,Fat content below standard,High,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-03-01 13:36:57,B20240228-226
227,2024-12-25 14:53:18,Fat content below standard,High,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-12-28 14:53:18,B20240516-227
228,2024-08-28 06:30:48,Higher than normal bacteria count,High,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-08-29 06:30:48,B20241021-228
229,2024-07-20 15:01:32,Fat content below standard,Medium,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-07-22 15:01:32,B20240409-229
230,2024-09-06 09:23:15,Packaging machine malfunction,High,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-09-09 09:23:15,B20240310-230
231,2024-11-04 04:08:38,Packaging machine malfunction,Low,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-11-06 04:08:38,B20240519-231
232,2024-07-20 15:23:29,pH level slightly off,High,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-07-21 15:23:29,B20241030-232
233,2024-02-16 06:28:27,pH level slightly off,Medium,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-02-18 06:28:27,B20240126-233
234,2024-11-03 20:20:32,Higher than normal bacteria count,Low,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-11-06 20:20:32,B20240902-234
235,2024-11-26 10:01:13,Fat content below standard,Medium,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-11-29 10:01:13,B20240611-235
236,2024-12-25 02:39:19,Packaging machine malfunction,Medium,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-12-28 02:39:19,B20240607-236
237,2024-03-01 23:20:27,pH level slightly off,Low,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-03-04 23:20:27,B20240901-237
238,2024-08-03 10:41:28,Fat content below standard,High,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-08-04 10:41:28,B20240418-238
239,2024-01-31 08:29:53,Higher than normal bacteria count,High,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-02-03 08:29:53,B20240324-239
240,2024-03-26 21:29:11,pH level slightly off,High,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-03-27 21:29:11,B20241008-240
241,2024-08-21 05:19:34,Fat content below standard,Medium,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-08-22 05:19:34,B20240212-241
242,2024-02-18 09:35:06,Fat content below standard,Medium,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-02-19 09:35:06,B20240407-242
243,2024-11-25 00:54:37,Higher than normal bacteria count,Medium,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-11-28 00:54:37,B20240605-243
244,2024-04-20 13:13:19,Packaging machine malfunction,Low,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-04-22 13:13:19,B20240813-244
245,2024-03-24 15:35:04,Higher than normal bacteria count,Low,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-03-27 15:35:04,B20240521-245
246,2024-09-03 11:50:10,Packaging machine malfunction,Medium,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-09-05 11:50:10,B20240802-246
247,2024-10-09 09:29:29,Packaging machine malfunction,Low,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-10-10 09:29:29,B20240223-247
248,2024-07-26 07:31:24,Higher than normal bacteria count,Medium,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-07-27 07:31:24,B20240421-248
249,2024-06-27 16:13:04,pH level slightly off,High,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-06-30 16:13:04,B20240912-249
250,2024-09-08 03:22:04,Fat content below standard,High,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-09-10 03:22:04,B20241013-250
251,2024-12-06 08:07:59,Fat content below standard,Low,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-12-08 08:07:59,B20241202-251
252,2024-09-29 22:35:30,Packaging machine malfunction,High,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-10-01 22:35:30,B20240623-252
253,2024-09-16 18:25:43,Packaging machine malfunction,Low,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-09-19 18:25:43,B20240910-253
254,2024-03-11 21:19:52,pH level slightly off,High,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-03-12 21:19:52,B20240213-254
255,2024-10-16 10:25:10,Packaging machine malfunction,Low,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-10-18 10:25:10,B20240614-255
256,2024-08-03 03:28:14,Higher than normal bacteria count,Low,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-08-04 03:28:14,B20241104-256
257,2024-12-11 22:59:34,pH level slightly off,High,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-12-13 22:59:34,B20240821-257
258,2024-04-26 05:24:22,Higher than normal bacteria count,Medium,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-04-27 05:24:22,B20240214-258
259,2024-07-02 17:02:46,Fat content below standard,Medium,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-07-05 17:02:46,B20241106-259
260,2024-10-31 11:05:26,Higher than normal bacteria count,High,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-11-03 11:05:26,B20240805-260
261,2024-09-24 07:53:27,pH level slightly off,Low,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-09-27 07:53:27,B20241024-261
262,2024-07-24 07:11:23,pH level slightly off,Medium,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-07-27 07:11:23,B20240525-262
263,2024-02-26 15:57:31,pH level slightly off,Low,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-02-29 15:57:31,B20240102-263
264,2024-12-12 07:03:11,Packaging machine malfunction,Medium,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-12-14 07:03:11,B20240310-264
265,2024-01-27 17:59:09,Fat content below standard,Medium,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-01-30 17:59:09,B20240401-265
266,2024-02-04 01:15:14,Packaging machine malfunction,High,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-02-05 01:15:14,B20240927-266
267,2024-11-19 19:07:53,pH level slightly off,Medium,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-11-21 19:07:53,B20240118-267
268,2024-11-12 12:59:37,pH level slightly off,Low,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-11-15 12:59:37,B20240730-268
269,2024-03-26 05:47:34,pH level slightly off,Medium,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-03-29 05:47:34,B20241025-269
270,2024-08-26 21:06:07,Higher than normal bacteria count,Low,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-08-28 21:06:07,B20240224-270
271,2024-01-31 22:21:43,Higher than normal bacteria count,Medium,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-02-01 22:21:43,B20240805-271
272,2024-10-01 12:20:37,Fat content below standard,Medium,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-10-02 12:20:37,B20240108-272
273,2024-04-25 13:12:04,Higher than normal bacteria count,Low,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-04-28 13:12:04,B20240905-273
274,2024-03-04 18:59:11,Higher than normal bacteria count,Low,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-03-07 18:59:11,B20240310-274
275,2024-09-08 13:22:17,Packaging machine malfunction,Low,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-09-11 13:22:17,B20240325-275
276,2024-07-29 08:14:26,Fat content below standard,Medium,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-07-30 08:14:26,B20240522-276
277,2024-06-18 16:49:32,pH level slightly off,Medium,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-06-21 16:49:32,B20240520-277
278,2024-07-23 09:22:27,Higher than normal bacteria count,High,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-07-24 09:22:27,B20240502-278
279,2024-10-01 19:27:47,Higher than normal bacteria count,Medium,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-10-02 19:27:47,B20241007-279
280,2024-12-09 08:13:45,Packaging machine malfunction,Low,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-12-11 08:13:45,B20241028-280
281,2024-03-06 00:35:45,Fat content below standard,High,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-03-08 00:35:45,B20240526-281
282,2024-07-17 06:11:56,Higher than normal bacteria count,Low,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-07-20 06:11:56,B20240917-282
283,2024-05-26 10:44:16,Fat content below standard,Medium,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-05-27 10:44:16,B20240418-283
284,2024-08-11 03:53:34,Packaging machine malfunction,High,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-08-12 03:53:34,B20240118-284
285,2024-08-07 09:30:54,Packaging machine malfunction,Medium,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-08-10 09:30:54,B20240121-285
286,2024-08-01 08:45:19,pH level slightly off,Low,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-08-04 08:45:19,B20240705-286
287,2024-05-12 08:55:39,Fat content below standard,Medium,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-05-15 08:55:39,B20240307-287
288,2024-06-29 22:35:38,Fat content below standard,Medium,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-07-01 22:35:38,B20240904-288
289,2024-04-26 08:48:05,pH level slightly off,Medium,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-04-27 08:48:05,B20240326-289
290,2024-09-14 08:02:50,Higher than normal bacteria count,Low,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-09-16 08:02:50,B20240723-290
291,2024-10-12 11:58:35,Packaging machine malfunction,High,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-10-14 11:58:35,B20240212-291
292,2024-04-08 11:17:42,Fat content below standard,Medium,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-04-09 11:17:42,B20240625-292
293,2024-04-26 22:58:15,Fat content below standard,Low,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-04-28 22:58:15,B20240610-293
294,2024-01-01 09:19:53,Packaging machine malfunction,Medium,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-01-03 09:19:53,B20240523-294
295,2024-11-14 12:08:08,Packaging machine malfunction,Low,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-11-16 12:08:08,B20240403-295
296,2024-07-17 19:12:05,Higher than normal bacteria count,High,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-07-20 19:12:05,B20240929-296
297,2024-05-07 09:36:48,Higher than normal bacteria count,High,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-05-10 09:36:48,B20240310-297
298,2024-10-07 15:38:31,Packaging machine malfunction,Medium,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-10-08 15:38:31,B20240120-298
299,2024-01-24 17:14:54,Higher than normal bacteria count,High,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-01-25 17:14:54,B20240921-299
300,2024-09-10 10:20:30,Higher than normal bacteria count,High,Issue investigated and corrective actions implemented. Follow-up testing conducted.,2024-09-13 10:20:30,B20240303-300
